Slang	Associated Drug
hillbilly heroin	"acetaminophen and oxycodone combination (percocet®); oxycodone
(oxycontin®, roxicodone®, oxaydo®)
hiopon	methamphetamine
hipster	synthetic cannabinoids
hits	lsd (lysergic acid diethylamide)
hocus	opium
hoja	marijuana
holy grail	marijuana
hombre	heroin
homegrown	marijuana
honey oil	ketamine (ketalar®); marijuana concentrates/hash oil
hongos	psilocybin mushrooms
hooch	marijuana
hops	opium
horse	heroin
horse heads	amphetamine
horse tracks	pcp (phencyclidine)
horse tranquilizers	pcp (phencyclidine)
hot dope	heroin
hot ice	methamphetamine
hotcakes	crack cocaine
hubba	crack cocaine
hubbers	methamphetamine
huera	heroin
huerfanito	fentanyl and fentanyl derivatives
hug drug	ecstasy/mdma/molly
hulk	alprazolam (xanax®)
huma	marijuana
humid	fentanyl and fentanyl derivatives
hummers	heroin
hyatari	mescaline/peyote
hydro	marijuana
hydros	hydrocodone (norco®, vicodin®, lorcet®)
hysteria	synthetic cannabinoids
ice cream	methamphetamine
ice cubes	crack cocaine
ice dragon	synthetic cannabinoids
ice water	methamphetamine
ice water hash	marijuana concentrates/hash oil
icehead	methamphetamine
idiot pills	hydrocodone (norco®, vicodin®, lorcet®)
in-betweens	amphetamine
incense	opium
indian boy	marijuana
indian hay	marijuana
insect repellent	synthetic cathinones
instant zen	lsd (lysergic acid diethylamide)
issues	crack cocaine
ivory wave	synthetic cathinones
jackpot	fentanyl and fentanyl derivatives
jale	methamphetamine
jamaican gold	marijuana
jamaican red	marijuana
jelly	cocaine
jelly babies	amphetamine
jelly beans	amphetamine; crack cocaine
jesus christ acid	lsd (lysergic acid diethylamide)
jet fuel	pcp (phencyclidine)
jet k	ketamine (ketalar®)
jewelry cleaner	synthetic cathinones
jive	marijuana
john deere	cocaine
johnny	methylphenidate (ritalin®, concerta®, daytrana®)
johnson	crack cocaine
jojee	heroin
joker	synthetic cannabinoids
jolly beans	amphetamine
jolly green	marijuana
jon-jem	marijuana
joy flakes	cocaine; heroin
joy juice	morphine
joy plant	opium
joy powder	cocaine; heroin
joy smoke	marijuana
juan valdez	marijuana
juanita	marijuana
jug of water	methamphetamine
jugs	amphetamine
juguetes	cocaine
juice	pcp (phencyclidine); promethazine; steroids
juicy leaf	synthetic cannabinoids
jump rope	cocaine
jungle juice	marijuana; synthetic cannabinoids
junk	cocaine; heroin
just chill	synthetic cannabinoids
kabayo	heroin
kaff	marijuana
kaleidoscope	lsd (lysergic acid diethylamide)
kali	marijuana
kangaroo	crack cocaine
kaos	synthetic cannabinoids
kaps	pcp (phencyclidine)
karachi	heroin
karate	heroin
karma	synthetic cannabinoids
kaya	marijuana
k-blast	pcp (phencyclidine)
keller	ketamine (ketalar®)
kelly’s day	ketamine (ketalar®)
kentucky blue	marijuana
khalifa	marijuana
k-hold	ketamine (ketalar®)
kibbles and bits	methylphenidate (ritalin®, concerta®, daytrana®)
kickers	"acetaminophen and oxycodone combination (percocet®); oxycodone
(oxycontin®, roxicodone®, oxaydo®)"
kiddie cocaine	methylphenidate (ritalin®, concerta®, daytrana®)
kiddie coke	methylphenidate (ritalin®, concerta®, daytrana®)
kiff	marijuana
killa	marijuana
killer	pcp (phencyclidine)
killers	oxycodone (oxycontin®, roxicodone®, oxaydo®)
kilter	marijuana
king ivory	fentanyl and fentanyl derivatives
